"Rank","Name","Symbol","employees_count","price (INR)","country"
"418","3M India","3MINDIA.NS","1132","33995","India"
"419","Mangalam Cement","MANGLMCEM.NS","1114","862.3","India"
"420","Hindustan Construction Company","HCC.NS","1105","42.26","India"
"421","Kokuyo Camlin","KOKUYOCMLN.NS","1095","182.81","India"
"422","Yatra","YTRA","1095","142.919","India"
"423","HEG","HEG.NS","1075","2458.85","India"
"424","Gujarat Mineral Development","GMDCLTD.NS","1064","340","India"
"425","Heidelbergcement India","HEIDELBERG.NS","1063","224.39","India"
"426","Astra Microwave","ASTRAMICRO.NS","1058","860.1","India"
"427","Excel Industries","EXCELINDUS.NS","1047","1626.6","India"
"428","Chambal Fertilisers","CHAMBLFERT.NS","1035","497.5","India"
"429","Gujarat Gas","GUJGASLTD.NS","1034","600.1","India"
"430","Safari Industries India","SAFARI.NS","1004","2611","India"
