"Rank","Name","Symbol","earnings_ttm","price (INR)","country"
"189","Exide Industries","EXIDEIND.NS","163907000","530.5","India"
"190","Godawari Power &amp; Ispat","GPIL.NS","163581000","190.9","India"
"191","Amara Raja Batteries","ARE&M.NS","163258000","1406.9","India"
"192","UNO Minda","UNOMINDA.NS","162974000","985.75","India"
"193","Graphite India","GRAPHITE.NS","162351000","579.05","India"
"194","Electrosteel Castings","ELECTCAST.NS","161461000","202.3","India"
"195","Bharti Hexacom","BHARTIHEXA.NS","159122000","1445.4","India"
"196","City Union Bank","CUB.NS","156430000","153.9","India"
"197","Schaeffler India","SCHAEFFLER.NS","148257000","3898.35","India"
"198","CG Power and Industrial Solutions","CGPOWER.NS","148068000","858.15","India"
"199","Castrol India","CASTROLIND.NS","143350000","227.82","India"
"200","CIE Automotive India","CIEINDIA.NS","143259000","541.2","India"
"201","Deepak Nitrite","DEEPAKNTR.NS","142925000","2829.6","India"
"202","Finolex Industries","FINPIPE.NS","140890000","299.45","India"
"203","Coforge","COFORGE.NS","139436000","7380.6","India"
"204","Kalyan Jewellers India","KALYANKJIL.NS","137836000","720.3","India"
"205","KEC International","KEC.NS","137238000","998.7","India"
"206","Kalpataru Power Transmission","KALPATPOWR.NS","136176000","522.85","India"
"207","Gland Pharma","GLAND.NS","134040000","1698.55","India"
"208","Apar Industries","APARINDS.NS","133623000","10428.4","India"
"209","NCC Limited","NCC.NS","133015000","298.45","India"
"210","Dalmia Bharat","DALBHARAT.NS","129529000","1872.95","India"
"211","Tata Elxsi","TATAELXSI.NS","128940000","7675.15","India"
"212","Thermax","THERMAX.NS","124735000","5155.25","India"
"213","Fortis Healthcare","FORTIS.NS","123547000","600.3","India"
"214","Embassy Office Parks REIT","EMBASSY.BO","122671000","387.76","India"
"215","Ipca Laboratories","IPCALAB.NS","121422000","1655.05","India"
"216","Cyient","CYIENT.NS","120969000","1851.2","India"
"217","Ashoka Buildcon","ASHOKA.NS","120011000","251.64","India"
"218","Knr Constructions","KNRCON.NS","119499000","318.4","India"
"219","Info Edge","NAUKRI.NS","119250000","8363.3","India"
"220","Finolex Cables","FINCABLES.NS","116879000","1298.15","India"
"221","ICICI Prulife","ICICIPRULI.NS","116690000","742.55","India"
"222","APL Apollo","APLAPOLLO.NS","116328000","1571.7","India"
"223","Procter &amp; Gamble India","PGHH.NS","115996000","16634.9","India"
"224","PCBL Limited","PCBL.NS","115817000","508.6","India"
"225","Endurance Technologies","ENDURANCE.NS","113921000","2343.35","India"
"226","Adani Total Gas","ATGL.NS","111260000","757.35","India"
"227","Punjab &amp; Sind Bank","PSB.NS","109977000","52.16","India"
"228","Narayana Hrudayalaya","NH.NS","109768000","1221.2","India"
"229","Nerolac Paints","KANSAINER.NS","109632000","288.75","India"
"230","EIH Limited","EIHOTEL.NS","108723000","430.2","India"
"231","BASF India","BASF.NS","108476000","8168.25","India"
"232","KPIT Technologies","KPITTECH.NS","108100000","1789.05","India"
"233","CRISIL","CRISIL.NS","105964000","4711.85","India"
"234","Jio Financial Services","JIOFIN.NS","105428000","341.5","India"
"235","Zensar","ZENSARTECH.NS","105087000","694.95","India"
"236","IDFC","IDFC.NS","104742000","108.78","India"
"237","KEI Industries","KEI.NS","104438000","4575.95","India"
"238","MakeMyTrip","MMYT","103869000","8490.2293","India"
"239","Suzlon","SUZLON.NS","103326000","74.39","India"
"240","CEAT","CEATLTD.NS","103303000","3010.7","India"
"241","Bayer Crop Science","BAYERCROP.NS","102194000","6713.85","India"
"242","Raymond","RAYMOND.NS","102156000","1603.45","India"
"243","DCM Shriram","DCMSHRIRAM.NS","101876000","1018.25","India"
"244","West Coast Paper Mills","WSTCSTPAPR.NS","100572000","611.25","India"
"245","Ramco Cements","RAMCOCEM.NS","99361200","861.55","India"
"246","Emami","EMAMILTD.NS","98404700","730.25","India"
"247","3M India","3MINDIA.NS","98310200","33995","India"
"248","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","98202500","3534.9","India"
"249","Page Industries","PAGEIND.NS","97587100","45370.2","India"
"250","Tata Chemicals","TATACHEM.NS","95056000","1183.1","India"
"251","Glenmark Pharmaceuticals","GLENMARK.NS","94845300","1790.65","India"
"252","Voltas","VOLTAS.NS","94783200","1789.45","India"
"253","Bharat Dynamics","BDL.NS","93917500","1221.95","India"
"254","Gujarat Mineral Development","GMDCLTD.NS","93502900","340","India"
"255","Spandana Sphoorty Financial","SPANDANA.NS","91294500","538.15","India"
"256","Astral Poly Technik","ASTRAL.NS","91043400","1897.45","India"
"257","Hindustan Construction Company","HCC.NS","89991800","42.26","India"
"258","SKF India","SKFINDIA.NS","89190200","5413.2","India"
"259","CSB Bank","CSBBANK.NS","88504300","307.3","India"
"260","Force Motors","FORCEMOT.NS","87982700","7099.9","India"
"261","Honeywell Automation India","HONAUT.NS","86891900","50303.6","India"
"262","eClerx Services","ECLERX.NS","86674400","3090.55","India"
"263","Alembic Pharmaceuticals","APLLTD.NS","85726200","1171.7","India"
"264","Blue Star","BLUESTARCO.NS","85240700","2019.3","India"
"265","TANLA","TANLA.NS","83284400","858.1","India"
"266","Sanofi India Limited","SANOFI.NS","81712500","6915.1","India"
"267","Piramal Pharma","PPLPHARMA.NS","81226800","221.3","India"
"268","Dixon Technologies","DIXON.NS","80857500","15143.6","India"
"269","PTC India","PTC.NS","79993200","197.38","India"
"270","Granules India","GRANULES.NS","79614300","603.85","India"
"271","Aavas Financiers","AAVAS.NS","78462100","1718.85","India"
"272","Carborundum Universal","CARBORUNIV.NS","77845800","1467.95","India"
"273","Syngene International","SYNGENE.NS","77494100","879.9","India"
"274","Jubilant Pharmova","JUBLPHARMA.NS","77415900","1146.35","India"
"275","Welspun India","WELSPUNIND.NS","76122400","158.95","India"
"276","CDSL","CDSL.NS","75963500","1478.05","India"
"277","Global Health Limited (Medanta)","MEDANTA.NS","75607700","1024.7","India"
"278","RITES","RITES.NS","75352100","313.6","India"
"279","Godrej","GODREJCP.NS","75274500","1315.7","India"
"280","Trident","TRIDENT.NS","75070700","35.3","India"
"281","Zomato","ZOMATO.NS","74880800","277.55","India"
"282","BSE","BSE.NS","74845400","4496.45","India"
"283","Crompton Greaves Consumer Electricals","CROMPTON.NS","74510600","430.85","India"
"284","Zee Entertainment","ZEEL.NS","73771100","130.15","India"
"285","Shriram Pistons &amp; Rings","SHRIPISTON.NS","72797900","2210.3","India"
"286","United Breweries","UBL.NS","72521500","2085.95","India"
"287","ReNew Power","RNW","72496300","496.8537","India"
"288","NBCC India","NBCC.NS","71860600","114.06","India"
"289","Linde India","LINDEINDIA.NS","71650700","8147.75","India"
"290","Sumitomo Chemical
 India","SUMICHEM.NS","71332700","545.1","India"
"291","Puravankara","PURVA.NS","68762000","394.45","India"
"292","Dr Lal PathLabs","LALPATHLAB.NS","67860100","3505.95","India"
"293","Time Technoplast","TIMETECHNO.NS","67685500","394.85","India"
"294","Kajaria Ceramics","KAJARIACER.NS","67359900","1408","India"
"295","Huhtamaki India","HUHTAMAKI.NS","66727800","400.2","India"
"296","Fine Organics","FINEORG.NS","66482400","5080.5","India"
"297","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","66247500","15304.8","India"
"298","Bata India","BATAINDIA.NS","65274400","1406.1","India"
"299","Indian Metals &amp; Ferro Alloys","IMFA.NS","65202500","706.75","India"
"300","Asahi India Glass","ASAHIINDIA.NS","65198700","735.5","India"
"301","Repco Home Finance","REPCOHOME.NS","65018400","497.55","India"
"302","Century Textiles and Industries","CENTURYTEX.NS","64943100","2718.95","India"
"303","Metro Brands","METROBRAND.NS","64624200","1225.6","India"
